,u,w,lap,m,k,fsq,t,vol
68,-11724.825,1729.381,1899768.1,2048.0,2181.726,1414602.9,345.0,2146.897
69,-11643.845,851.9363,1799903.9,2048.0,2060.083,1308885.6,350.0,2176.0188
70,-11737.021,817.10297,1804611.2,2048.0,2091.8025,1202161.6,355.0,2164.8474
71,-11803.65,1204.1265,1853565.9,2048.0,2109.8289,1306258.4,360.0,2148.6604
72,-11769.478,2277.8813,1959490.1,2048.0,2162.8767,1404856.4,365.0,2130.4473
73,-11781.674,1906.9364,1922063.4,2048.0,2159.9255,1355921.0,370.0,2137.2073
74,-11727.521,1901.5399,1916318.2,2048.0,2136.8962,1343259.1,375.0,2142.4163
75,-11714.151,1737.9873,1897696.9,2048.0,2139.2007,1315782.4,380.0,2148.9124
76,-11739.186,1286.2208,1855438.8,2048.0,2198.618,1321237.0,385.0,2154.8503
77,-11688.016,1494.7523,1869349.9,2048.0,2166.9963,1288664.0,390.0,2156.2593
78,-11673.507,694.6218,1785482.1,2048.0,2137.8286,1197920.2,395.0,2175.5955
79,-11651.147,1197.9832,1836454.2,2048.0,2095.0623,1347152.0,400.0,2166.7568
80,-11700.934,1326.093,1853215.9,2048.0,2176.3472,1218673.2,405.0,2158.3218
81,-11696.266,1008.6189,1820470.9,2048.0,2133.5894,1231564.2,410.0,2166.3328
82,-11724.914,1059.1685,1830106.4,2048.0,2126.2168,1298955.2,415.0,2161.3867
83,-11702.145,1147.0951,1836752.8,2048.0,2139.4363,1299063.5,420.0,2162.1406
84,-11685.8545,1453.615,1866220.2,2048.0,2156.7769,1319978.4,425.0,2157.2502
85,-11693.527,1521.9984,1873165.2,2048.0,2170.2852,1294212.5,430.0,2154.6013
86,-11647.681,1318.383,1848686.1,2048.0,2116.5432,1316710.4,435.0,2164.3916
87,-11748.121,1104.068,1836674.0,2048.0,2174.274,1249836.6,440.0,2156.0613
88,-11742.846,1092.0884,1833770.1,2048.0,2188.9219,1257372.1,445.0,2159.6506
89,-11683.974,1446.8483,1865876.2,2048.0,2143.1572,1353837.5,450.0,2158.1733
90,-11721.81,1396.3602,1861429.0,2048.0,2078.0366,1259539.0,455.0,2156.8381
91,-11730.837,790.29297,1804529.5,2048.0,2067.3894,1264588.8,460.0,2165.127
92,-11689.441,1315.8945,1851176.4,2048.0,2153.5151,1298969.8,465.0,2160.5325
93,-11743.361,1161.063,1841325.0,2048.0,2152.1382,1246357.0,470.0,2157.365
94,-11700.398,1296.591,1850728.8,2048.0,2201.1567,1265024.2,475.0,2160.7493
95,-11636.885,1722.8202,1887258.8,2048.0,2159.5027,1341977.6,480.0,2158.8628
96,-11644.607,1413.908,1858572.0,2048.0,2201.0188,1390752.8,485.0,2163.091
97,-11640.12,1430.4008,1859542.5,2048.0,2156.2178,1339837.5,490.0,2163.2434
98,-11687.465,1941.4176,1916490.8,2048.0,2178.678,1400351.6,495.0,2147.293
99,-11730.218,1620.2899,1887535.8,2048.0,2188.1602,1292549.5,500.0,2148.8376
100,-11711.303,894.0899,1811078.9,2048.0,2194.4094,1225321.5,505.0,2166.3167
101,-11675.011,1361.4224,1855437.5,2048.0,2141.2153,1311618.9,510.0,2160.2878
102,-11711.902,1140.0773,1837173.9,2048.0,2157.3293,1333824.8,515.0,2161.5547
103,-11679.772,940.19507,1813957.8,2048.0,2132.5793,1321644.1,520.0,2169.065
104,-11742.434,1746.8151,1902265.8,2048.0,2237.5298,1386080.8,525.0,2144.9258
105,-11695.87,1295.9838,1849883.6,2048.0,2156.587,1253328.2,530.0,2159.8723
106,-11723.436,1481.8525,1872408.2,2048.0,2205.421,1295241.0,535.0,2152.7874
107,-11706.882,1756.0978,1899601.0,2048.0,2153.7793,1365084.0,540.0,2148.6985
108,-11601.876,1464.6304,1859784.4,2048.0,2097.614,1374030.6,545.0,2166.95
109,-11666.037,1462.298,1864857.2,2048.0,2183.2825,1336384.6,550.0,2160.4387
110,-11695.741,1552.6045,1876928.1,2048.0,2190.678,1344607.8,555.0,2154.2625
111,-11752.806,1148.4119,1840938.2,2048.0,2148.209,1261411.4,560.0,2155.5818
112,-11747.712,1067.4174,1831129.0,2048.0,2107.5247,1202934.5,565.0,2159.2666
113,-11782.66,1211.9927,1850429.8,2048.0,2169.3625,1296565.6,570.0,2152.0452
114,-11741.528,1407.2819,1865819.0,2048.0,2104.6604,1272844.2,575.0,2152.4543
115,-11740.807,1036.2837,1827373.0,2048.0,2128.1428,1230903.4,580.0,2160.7913
116,-11725.044,1235.4495,1848801.4,2048.0,2168.9468,1339558.1,585.0,2157.0366
117,-11651.39,991.5275,1814262.2,2048.0,2131.63,1280419.6,590.0,2172.0908
118,-11702.878,1117.2985,1833792.6,2048.0,2157.3274,1293257.0,595.0,2162.8286
119,-11650.521,1489.8336,1866122.4,2048.0,2174.8442,1332243.5,600.0,2160.841
120,-11694.854,1695.931,1892958.6,2048.0,2214.3972,1379694.5,605.0,2151.072
121,-11738.4375,1228.7694,1847830.9,2048.0,2188.0916,1256719.9,610.0,2156.2512
122,-11745.889,1400.8225,1865631.2,2048.0,2172.1619,1271932.2,615.0,2151.3518
123,-11708.931,1403.2415,1863483.2,2048.0,2157.2964,1349865.4,620.0,2155.696
124,-11625.212,1243.9479,1838032.0,2048.0,2155.382,1307395.0,625.0,2168.8506
125,-11679.407,1287.35,1849962.6,2048.0,2209.524,1380142.5,630.0,2160.1726
126,-11704.448,1661.0089,1888005.6,2048.0,2180.541,1322057.1,635.0,2151.2693
127,-11617.546,1363.0951,1850404.5,2048.0,2153.36,1373456.2,640.0,2167.5928
128,-11665.879,1173.8706,1835172.1,2048.0,2124.804,1311502.1,645.0,2166.2712
129,-11711.022,1137.8342,1835667.1,2048.0,2164.2515,1295751.2,650.0,2161.8225
130,-11714.967,884.20074,1811131.9,2048.0,2171.262,1276136.2,655.0,2165.7917
131,-11690.064,1789.738,1899780.6,2048.0,2152.2239,1339179.0,660.0,2150.3918
132,-11663.912,1295.9227,1846245.8,2048.0,2160.5308,1287351.6,665.0,2164.081
133,-11659.474,1358.9359,1853566.8,2048.0,2189.037,1284134.1,670.0,2162.345
134,-11625.876,1082.3124,1822574.6,2048.0,2118.816,1279585.4,675.0,2171.716
135,-11780.267,875.03204,1815748.4,2048.0,2173.3992,1203467.1,680.0,2158.9482
136,-11714.364,1233.1733,1847609.8,2048.0,2186.238,1332693.9,685.0,2159.019
137,-11637.022,896.7811,1805014.8,2048.0,2160.0254,1300929.1,690.0,2175.418
138,-11651.472,1440.5042,1860694.0,2048.0,2094.5962,1328108.0,695.0,2161.7922
139,-11704.458,1085.8442,1828912.8,2048.0,2131.0996,1215727.2,700.0,2162.945
140,-11742.326,1030.4829,1827061.9,2048.0,2161.9873,1207506.5,705.0,2161.1084
141,-11726.99,1079.6304,1832007.5,2048.0,2145.034,1275423.2,710.0,2160.1865
142,-11659.657,745.71375,1790628.9,2048.0,2102.6226,1253678.9,715.0,2175.6926
143,-11678.264,925.6873,1812031.0,2048.0,2119.308,1283370.6,720.0,2168.8804
144,-11685.967,1191.4774,1838961.0,2048.0,2123.629,1243087.0,725.0,2163.6946
145,-11711.522,1177.8302,1839460.9,2048.0,2138.6404,1253380.8,730.0,2161.5168
146,-11681.124,857.83093,1803523.5,2048.0,2141.453,1188445.0,735.0,2170.4434
147,-11710.79,1602.8734,1884679.1,2048.0,2121.8582,1359905.2,740.0,2151.032
148,-11741.309,1205.7576,1846322.0,2048.0,2165.9622,1281767.8,745.0,2155.8647
149,-11698.194,1619.9567,1883013.0,2048.0,2116.1711,1305813.1,750.0,2152.7725
150,-11713.789,973.68445,1819414.1,2048.0,2163.738,1253031.2,755.0,2164.3298
151,-11689.919,1384.1143,1859349.1,2048.0,2119.8462,1325310.0,760.0,2158.5537
152,-11735.747,1271.5859,1852812.0,2048.0,2149.2483,1298907.6,765.0,2155.5115
153,-11701.085,821.9381,1802595.1,2048.0,2166.4224,1241241.8,770.0,2168.0012
154,-11700.343,1347.5962,1856952.2,2048.0,2191.242,1315715.6,775.0,2157.2017
155,-11700.151,1537.6283,1876027.4,2048.0,2142.464,1337933.8,780.0,2153.2256
156,-11739.802,1246.5828,1848962.5,2048.0,2161.8477,1274184.1,785.0,2157.194
157,-11766.119,1381.7396,1866942.0,2048.0,2163.3164,1287192.4,790.0,2149.182
158,-11684.804,1082.4984,1827155.4,2048.0,2137.4065,1263437.2,795.0,2165.359
159,-11732.832,1216.2959,1846238.9,2048.0,2119.1216,1262406.2,800.0,2156.2837
160,-11773.806,1359.3175,1866247.0,2048.0,2214.3508,1294615.5,805.0,2147.7402
161,-11730.18,1211.2804,1846106.5,2048.0,2166.5322,1305910.2,810.0,2157.7876
162,-11663.159,1354.9053,1854014.5,2048.0,2129.6516,1322677.6,815.0,2162.1333
163,-11726.997,1202.3304,1843887.0,2048.0,2160.3284,1285750.1,820.0,2157.8088
164,-11818.297,1241.746,1857463.1,2048.0,2129.766,1238031.9,825.0,2146.1384
165,-11704.166,1538.3063,1876088.2,2048.0,2072.9812,1354461.0,830.0,2154.328
166,-11702.619,1077.4412,1828316.6,2048.0,2129.6118,1210636.5,835.0,2162.3362
167,-11619.651,880.4162,1799634.9,2048.0,2144.3945,1246260.2,840.0,2177.769
168,-11614.887,1582.9026,1872236.0,2048.0,2119.1663,1327612.9,845.0,2162.7605
169,-11708.93,1242.018,1846549.1,2048.0,2103.6155,1313729.9,850.0,2158.9895
170,-11656.087,945.10736,1810797.5,2048.0,2136.907,1273771.2,855.0,2172.1816
171,-11744.766,1011.28784,1827126.9,2048.0,2197.5486,1262039.1,860.0,2158.7559
172,-11700.474,800.4449,1799654.2,2048.0,2159.7505,1202502.1,865.0,2170.0266
173,-11693.728,1612.1526,1882846.0,2048.0,2148.1838,1351764.8,870.0,2154.187
174,-11757.493,830.3353,1808513.6,2048.0,2135.9746,1220197.8,875.0,2162.7026
175,-11694.298,1049.4824,1825790.6,2048.0,2154.7341,1282576.4,880.0,2164.3735
176,-11710.041,926.3745,1813849.9,2048.0,2143.4033,1242019.4,885.0,2165.1638
177,-11701.637,596.62274,1778697.0,2048.0,2167.1104,1212232.9,890.0,2173.5796
178,-11704.06,1055.339,1826091.1,2048.0,2136.2695,1252388.0,895.0,2164.3613
179,-11702.277,1229.8243,1844887.2,2048.0,2197.152,1297311.2,900.0,2159.609
180,-11723.969,1140.686,1836885.5,2048.0,2145.2874,1199231.2,905.0,2159.3909
181,-11709.996,1455.1603,1867178.2,2048.0,2165.8638,1267481.6,910.0,2154.1995
182,-11694.154,918.55566,1812736.2,2048.0,2199.5752,1294466.9,915.0,2167.6455
183,-11662.13,1332.5396,1849923.4,2048.0,2200.1511,1289942.6,920.0,2163.7937
184,-11705.3545,1121.0082,1832321.4,2048.0,2173.4856,1231861.5,925.0,2162.561
185,-11676.332,651.8006,1781675.2,2048.0,2102.0088,1187663.1,930.0,2176.8823
186,-11657.147,1250.3022,1842787.6,2048.0,2109.0542,1314999.5,935.0,2163.9268
187,-11708.364,1369.2328,1860689.6,2048.0,2110.6882,1347360.1,940.0,2156.2468
188,-11711.455,1044.2788,1826099.8,2048.0,2118.0042,1252016.8,945.0,2162.3413
189,-11763.782,821.0329,1808854.8,2048.0,2140.1926,1213525.6,950.0,2162.3984
190,-11735.637,987.2072,1822463.5,2048.0,2110.124,1237864.0,955.0,2161.3872
191,-11676.4,1510.721,1871588.0,2048.0,2157.523,1377147.2,960.0,2158.0908
192,-11669.085,994.57025,1816655.8,2048.0,2129.019,1261596.2,965.0,2168.4714
